Timestamp,What is your age group?,What is your gender?,Where are you from?,What is your preferred language?,Do you face difficulties understanding instructions due to language barriers?,Which of the following do you find most challenging around Al-Haram? (Select all that apply),How do you usually get information or help around Al-Haram?,"Have you ever felt lost, confused, or stressed while navigating Al-Haram or nearby areas?",Are you comfortable using touch-screen devices?,Have you used any digital guide or app during Hajj or Umrah before?,What would make a digital guide easier for you to use? (Select all that apply),Which features would you find most useful in AlHaram Guide? (Select all that apply),Would you use an AI-powered information kiosk inside or around Al-Haram?,In which situations would you most likely use AlHaram Guide?,Do you think AlHaram Guide would reduce confusion and improve your experience?,How important is 24/7 availability of guidance services for pilgrims?,Do you have any suggestions or additional features you would like to see?
1/5/2026 20:09:21,18 - 30,Female,Saudi Arabia,Arabic,Yes,"Understanding ritual steps, Finding entrances or exits",Asking staff or volunteers,Yes,Yes,No,"Large text and icons, Simple steps","General guidance for rituals and prayers, Automatic language detection",Yes,When needing directions,Yes,Very Important,
1/5/2026 20:29:58,18 - 30,Female,Saudi Arabia ,"Arabic, English",Sometimes,"Finding entrances or exits, Navigating crowded areas",Asking staff or volunteers,Yes,Yes,No,"Large text and icons, Simple steps, Visual maps","General guidance for rituals and prayers, Interactive maps and directions, Emergency and safety assistance",Maybe,When needing directions,Yes,Very Important,
1/5/2026 20:30:44,18 - 30,Female,Saudi,English,No,"Understanding ritual steps, Finding entrances or exits, Finding prayer areas, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help), Understanding signs or instructions",Mobile applications,No,Yes,Yes,"Large text and icons, Voice assistance, Visual maps",General guidance for rituals and prayers,No,When needing directions,Yes,Very Important,
1/5/2026 20:31:16,18 - 30,Female,Riyadh,"Arabic, English",No,"Locating services (restrooms, Zamzam, medical help)",Asking staff or volunteers,Sometimes,Yes,No,"Simple steps, Multiple languages, Visual maps","Automatic language detection, Interactive maps and directions, Prayer times and religious information",Maybe,When needing directions,Yes,Very Important,
1/5/2026 20:33:05,18 - 30,Female,Saudi e,"Arabic, English",Sometimes,"Finding entrances or exits, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help)",Asking staff or volunteers,Sometimes,Yes,No,"Simple steps, Visual maps","AI chat assistant (text or voice), Automatic language detection, Interactive maps and directions, Emergency and safety assistance",Yes,When needing directions,Yes,Important,
1/5/2026 20:33:42,18 - 30,Female,Saudi,"Arabic, English",Sometimes,"Understanding ritual steps, Locating services (restrooms, Zamzam, medical help), Understanding signs or instructions",Asking staff or volunteers,Sometimes,Yes,No,"Large text and icons, Voice assistance, Simple steps, Multiple languages, Visual maps","Interactive maps and directions, Prayer times and religious information, Emergency and safety assistance",Maybe,When needing directions,Yes,Very Important,
1/5/2026 20:40:43,18 - 30,Female,Saudi Arabia ,"Arabic, English",No,"Finding prayer areas, Locating services (restrooms, Zamzam, medical help)",Asking staff or volunteers,No,Maybe,No,"Voice assistance, Simple steps, Multiple languages, Visual maps","General guidance for rituals and prayers, Interactive maps and directions, Prayer times and religious information, Emergency and safety assistance",No,When needing directions,Yes,Very Important,
1/5/2026 20:42:36,18 - 30,Female,Madinah,"Arabic, English",Sometimes,"Finding entrances or exits, Finding prayer areas, Navigating crowded areas",I often feel unsure where to ask,Yes,Yes,No,"Simple steps, Multiple languages, Visual maps","General guidance for rituals and prayers, AI chat assistant (text or voice), Interactive maps and directions, Prayer times and religious information",Yes,When needing directions,Yes,Very Important,
1/5/2026 20:44:24,18 - 30,Female,Saudi,"Arabic, English",Sometimes,"Understanding ritual steps, Finding entrances or exits, Finding prayer areas, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help), Understanding signs or instructions",I often feel unsure where to ask,Sometimes,Yes,No,"Large text and icons, Simple steps, Visual maps","General guidance for rituals and prayers, Interactive maps and directions, Prayer times and religious information, Emergency and safety assistance",Yes,In emergencies,Maybe,Very Important,
1/5/2026 21:28:21,18 - 30,Female,Saudi arabia ,"Arabic, English",Sometimes,"Finding entrances or exits, Finding prayer areas, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help), Understanding signs or instructions",Asking staff or volunteers,Yes,Yes,No,"Voice assistance, Simple steps, Multiple languages, Visual maps","General guidance for rituals and prayers, AI chat assistant (text or voice), Prayer times and religious information, Emergency and safety assistance",Yes,When needing directions,Yes,Very Important,
1/5/2026 21:38:57,18 - 30,Male,Egypt,Arabic,No,"Understanding ritual steps, Finding entrances or exits, Locating services (restrooms, Zamzam, medical help)",Mobile applications,Sometimes,Yes,No,"Simple steps, Visual maps","General guidance for rituals and prayers, Interactive maps and directions, Emergency and safety assistance",Maybe,To get general information,Maybe,Very Important,
1/5/2026 21:41:10,18 - 30,Male,Riyadh ,Arabic,No,Finding entrances or exits,Asking staff or volunteers,Sometimes,Yes,Yes,"Multiple languages, Visual maps","Prayer times and religious information, Emergency and safety assistance",No,To get general information,Yes,Very Important,
1/5/2026 21:59:36,18 - 30,Female,Riyadh Saudi Arabia,"Arabic, English",No,"Finding entrances or exits, Finding prayer areas, Navigating crowded areas",Asking staff or volunteers,Yes,Yes,No,"Simple steps, Visual maps","Interactive maps and directions, Emergency and safety assistance",Maybe,When needing directions,Maybe,Important,"Tracking the traffic/crowd (to know where there is less crowds/people). For the map, it tells you how many minutes and the distance in meters. "
1/5/2026 22:17:15,18 - 30,Female,Riyadh,Arabic,No,"Understanding ritual steps, Finding prayer areas, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help)",Printed signs or brochures,Yes,Yes,No,"Simple steps, Visual maps","General guidance for rituals and prayers, Interactive maps and directions, Prayer times and religious information",Maybe,When unsure about procedures or rules,Yes,Very Important,
1/6/2026 0:31:19,18 - 30,Female,riyadh ,"Arabic, English",Sometimes,"Finding entrances or exits, Finding prayer areas, Navigating crowded areas",Asking staff or volunteers,Yes,Maybe,No,"Simple steps, Visual maps","General guidance for rituals and prayers, AI chat assistant (text or voice)",Yes,When needing directions,Yes,Very Important,
1/6/2026 10:23:29,18 - 30,Female,Saudi Arabia ,"Arabic, English",No,"Finding entrances or exits, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help)",Asking staff or volunteers,Sometimes,Yes,No,"Simple steps, Visual maps","General guidance for rituals and prayers, Interactive maps and directions",Yes,When needing directions,Maybe,Very Important,
1/6/2026 11:27:09,18 - 30,Female,"Saudi Arabia, Riyadh","Arabic, English",No,"Finding entrances or exits, Finding prayer areas, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help)",Asking staff or volunteers,Sometimes,Yes,No,"Large text and icons, Simple steps, Visual maps","General guidance for rituals and prayers, AI chat assistant (text or voice), Automatic language detection, Interactive maps and directions, Prayer times and religious information, Emergency and safety assistance",Yes,When needing directions,Yes,Very Important,No
1/6/2026 12:15:35,18 - 30,Female,Tabuk,English,No,"Finding entrances or exits, Finding prayer areas",I often feel unsure where to ask,Yes,No,No,"Simple steps, Visual maps","Prayer times and religious information, Emergency and safety assistance",Maybe,When unsure about procedures or rules,No,Important,
1/7/2026 11:58:10,18 - 30,Female,Saudi arabia! ,Arabic,No,"Understanding ritual steps, Finding prayer areas, Understanding signs or instructions",Mobile applications,Yes,Yes,No,Simple steps,"General guidance for rituals and prayers, Automatic language detection, Interactive maps and directions, Prayer times and religious information",No,When unsure about procedures or rules,Yes,Very Important,
1/8/2026 15:00:43,46 - 60,Female,السعوديه,Arabic,Sometimes,Navigating crowded areas,Mobile applications,No,Yes,No,Visual maps,Interactive maps and directions,Maybe,When unsure about procedures or rules,Yes,Very Important,بناءا على ماطرحت الاستفتاء من نقاط هامة ، فإنها تغطي كل اهتمامات الحاج والمعتمر ، الاقتراح هو مواكبة التطور في الذكاء الاصطناعي لخدمات الحرم ، وبالتوفيق في ظل قيادتنا الرشيدة 
1/9/2026 1:12:37,46 - 60,Female,Saudi ,Arabic,No,Finding entrances or exits,Asking staff or volunteers,Sometimes,Yes,Yes,Large text and icons,General guidance for rituals and prayers,Maybe,When unsure about procedures or rules,Yes,Very Important,
1/9/2026 6:56:09,46 - 60,Female,Riyadh,Arabic,No,"Finding prayer areas, Navigating crowded areas",Asking staff or volunteers,Sometimes,No,No,Simple steps,Automatic language detection,No,When needing directions,Yes,Very Important,No
1/9/2026 12:53:24,under 18,Female,Saudi,English,Yes,Navigating crowded areas,Asking staff or volunteers,Yes,Yes,No,Large text and icons,General guidance for rituals and prayers,Yes,When unsure about procedures or rules,Yes,Very Important,No
1/12/2026 4:08:27,31 - 45,Female,Saudi,Arabic,Sometimes,"Finding entrances or exits, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help)",Asking staff or volunteers,Yes,Yes,Yes,"Simple steps, Visual maps","General guidance for rituals and prayers, AI chat assistant (text or voice), Interactive maps and directions, Prayer times and religious information, Emergency and safety assistance",Yes,When needing directions,Maybe,Very Important,Do more strong Laws and regulations for Circumambulating the Kaaba
1/12/2026 18:34:06,46 - 60,Female,Saudi Arabia,Arabic,No,Navigating crowded areas,Asking staff or volunteers,No,Yes,No,"Large text and icons, Voice assistance, Simple steps, Multiple languages, Visual maps","General guidance for rituals and prayers, AI chat assistant (text or voice), Automatic language detection, Interactive maps and directions, Prayer times and religious information, Emergency and safety assistance",Yes,When needing directions,Yes,Important,
1/14/2026 19:43:27,31 - 45,Female,Saudi Arabia,"Arabic, English",No,none,Asking staff or volunteers,Sometimes,No,No,"Simple steps, Visual maps",Prayer times and religious information,No,To get general information,Maybe,Very Important,
1/20/2026 16:03:38,18 - 30,Female,سوريا,"Arabic, English",Sometimes,"Understanding ritual steps, Finding entrances or exits, Finding prayer areas, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help), Understanding signs or instructions",Asking staff or volunteers,Yes,Yes,No,"Large text and icons, Voice assistance, Simple steps, Multiple languages, Visual maps","General guidance for rituals and prayers, AI chat assistant (text or voice), Automatic language detection, Interactive maps and directions, Prayer times and religious information, Emergency and safety assistance",Yes,When needing directions,Yes,Very Important,
1/20/2026 16:54:52,18 - 30,Male,Saudi,"Arabic, English",No,"Finding entrances or exits, Finding prayer areas",Asking staff or volunteers,Sometimes,Yes,No,"Large text and icons, Simple steps, Multiple languages, Visual maps",General guidance for rituals and prayers,Maybe,To get general information,Yes,Very Important,
1/20/2026 16:55:40,18 - 30,Male,Riyadh,Arabic,No,"Understanding ritual steps, Finding entrances or exits, Finding prayer areas",Asking staff or volunteers,Yes,Yes,No,"Simple steps, Multiple languages, Visual maps","General guidance for rituals and prayers, Interactive maps and directions, Emergency and safety assistance",Maybe,To get general information,Yes,Very Important,
1/20/2026 16:56:19,18 - 30,Male,Riyadh,"Arabic, English",No,"Understanding ritual steps, Finding entrances or exits",Printed signs or brochures,Sometimes,Yes,No,Visual maps,"General guidance for rituals and prayers, Interactive maps and directions",Yes,When unsure about procedures or rules,Yes,Very Important,
1/20/2026 17:04:35,under 18,Female,سوريا,Arabic,Yes,"Finding entrances or exits, Finding prayer areas, Navigating crowded areas",Mobile applications,Yes,Yes,No,Simple steps,Prayer times and religious information,No,When unsure about procedures or rules,Yes,Very Important,
1/20/2026 17:10:36,18 - 30,Male,Saudi arabia - tiyadh,"Arabic, English",No,Navigating crowded areas,Asking other visitors,Yes,Yes,No,"Large text and icons, Voice assistance, Simple steps, Multiple languages, Visual maps","General guidance for rituals and prayers, AI chat assistant (text or voice), Automatic language detection, Interactive maps and directions, Prayer times and religious information, Emergency and safety assistance",No,When unsure about procedures or rules,Yes,Very Important,
1/20/2026 17:17:32,18 - 30,Male,Saudi,"Arabic, English",No,Navigating crowded areas,Mobile applications,No,Yes,Yes,"Large text and icons, Simple steps","General guidance for rituals and prayers, Automatic language detection, Prayer times and religious information",Maybe,To get general information,Yes,Very Important,
1/20/2026 17:30:54,31 - 45,Female,Sweden,English,No,Finding entrances or exits,Asking other visitors,No,Yes,Yes,"Simple steps, Multiple languages, Visual maps","Interactive maps and directions, Prayer times and religious information, Emergency and safety assistance",No,When needing directions,Yes,Very Important,No
1/20/2026 17:31:04,18 - 30,Male,Saudi Arabia ,"Arabic, English",No,"Understanding ritual steps, Finding entrances or exits",Asking staff or volunteers,Sometimes,Yes,No,Simple steps,"General guidance for rituals and prayers, Interactive maps and directions",Maybe,When needing directions,Maybe,Important,
1/20/2026 18:13:58,18 - 30,Female,Saudi Arabia,"Arabic, English",Sometimes,"Finding entrances or exits, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help)",Asking staff or volunteers,Sometimes,Yes,Yes,"Simple steps, Visual maps","General guidance for rituals and prayers, AI chat assistant (text or voice)",Maybe,When needing directions,Yes,Important,
1/20/2026 18:30:52,18 - 30,Female,Saudi,Arabic,No,"Finding entrances or exits, Finding prayer areas, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help)",Asking staff or volunteers,Yes,Yes,No,"Simple steps, Multiple languages, Visual maps","AI chat assistant (text or voice), Interactive maps and directions",Maybe,When needing directions,Yes,Very Important,
1/20/2026 21:26:25,18 - 30,Female,Riyadh ,"Arabic, English",No,"Understanding ritual steps, Finding entrances or exits, Finding prayer areas, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help)",Asking staff or volunteers,Sometimes,Maybe,Yes,"Large text and icons, Multiple languages, Visual maps","General guidance for rituals and prayers, AI chat assistant (text or voice), Automatic language detection, Interactive maps and directions, Prayer times and religious information, Emergency and safety assistance",Yes,When needing directions,Yes,Very Important,
1/21/2026 13:49:33,18 - 30,Female,Saudi Arabia,Arabic,Yes,"Understanding ritual steps, Finding entrances or exits, Navigating crowded areas, Locating services (restrooms, Zamzam, medical help)",I often feel unsure where to ask,Yes,Yes,Yes,"Large text and icons, Voice assistance, Simple steps, Multiple languages, Visual maps","AI chat assistant (text or voice), Interactive maps and directions, Prayer times and religious information, Emergency and safety assistance",Yes,When unsure about procedures or rules,Yes,Very Important,AI making a plan with timings for my trip to help organize and plan